,classname,day,time,position,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20
0,新中特,"[1, 3]",[4],西十二教N212,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,人工智能导论,"[1, 3]",[6],西十二教N303,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
